( 0 , 'there are such a large amount of')
( 0 , 'there are so many')
( 0 , 'there are such a lot of')
( 1 , 'there are an a variety of benefits')
( 1 , 'there are a number of advantages')
( 1 , 'there are a number of benefits')
( 2 , 'one day')
( 2 , 'at some point')
( 2 , 'in the future')
( 2 , 'someday')
( 2 , 'sooner or later')
( 3 , 'those who are victims of the ailment')
( 3 , 'those who have the ailment')
( 4 , 'to get yourself up to speed')
( 4 , 'to make yourself familiar')
( 4 , 'to familiarize yourself')
( 5 , 'there are such a lot of')
( 5 , 'there are so many')
( 6 , 'there are a number of benefits')
( 6 , 'there are a number of advantages')
( 6 , 'there are an a variety of benefits')
( 7 , 'there are a number of advantages')
( 7 , 'there are a number of benefits')
( 7 , 'there are an a variety of benefits')
( 8 , 'the U.S.')
( 8 , 'the united states')
( 8 , 'the us')
( 9 , 'a computer')
( 9 , 'a pc')
( 10 , 'come up with the money for')
( 10 , 'afford')
( 10 , 'have enough money')
( 10 , 'have the funds for')
( 10 , 'manage to pay for')
( 10 , 'find the money for')
( 11 , 'case in point')
( 11 , 'working example')
( 11 , 'living proof ')
( 12 , 'passed on to the great beyond')
( 12 , 'gave up the ghost')
( 12 , 'kicked the bucket')
( 12 , 'passed away')
( 13 , 'rang a bell in my memory')
( 13 , 'jogged my memory')
( 13 , 'stroke a chord in my memory')
( 13 , 'really reminded me')
( 14 , 'rings a bell in my memory')
( 14 , 'reminds me')
( 14 , 'jogs my memory')
( 14 , 'strikes a chord in my memory')
( 15 , 'strikes a chord in my memory')
( 15 , 'reminds me')
( 15 , 'jogs my memory')
( 15 , 'rings a bell in my memory')
( 16 , 'stroke a chord in my memory')
( 16 , 'jogged my memory')
( 16 , 'rang a bell in my memory')
( 16 , 'really reminded me')
( 17 , 'take me back to the fact')
( 17 , 'job my memory')
( 17 , 'ring a bell in me')
( 17 , 'strike a cord in me ')
( 18 , 'you should not have any')
( 18 , 'you shouldn''t have any')
( 18 , 'you should have no')
( 19 , 'will not do any harm')
( 19 , 'will not hurt')
( 19 , 'won''t hurt')
( 20 , 'we will be able to')
( 20 , 'we will')
( 20 , 'we can')
( 21 , 'to take a look at')
( 21 , 'to try')
( 21 , 'to check out')
( 22 , 'to make a screw up')
( 22 , 'to make a mistake')
( 22 , 'to screw up')
( 23 , 'to make a choice from')
